comment,score,number_reply,parent_id
Does anyone else think that baby looks like an 80 year old Neil Patrick Harris? Like if he starred in Benjamin Button.,205,1,insanepeoplefacebook
"I keep thinking this baby looks like Vizzini.

""Vegan, you say? So I can clearly not choose the bottle in front of ME. And never get involved in a land war in Asia.""",38,1,insanepeoplefacebook
"Yeah, but all babies look like Vizzini.",15,0,insanepeoplefacebook
This meme will definitely be used as evidence in a Child Protective Services hearing.,338,2,insanepeoplefacebook
Or in a criminal negligence causing death case.,55,0,insanepeoplefacebook
"Probably not. The caption is misleading/doesn’t make sense. A newborn that age isn’t eating anything, just drinking the mother’s milk or formula.",103,1,insanepeoplefacebook
MiLk iSn’T vEgAn,67,0,insanepeoplefacebook
Bruh this looks like a 75 year old baby.,20,0,insanepeoplefacebook
This hurt my soul.,39,0,insanepeoplefacebook
"Both of my kids (first ended up on formula after BF didn't work out, second EBF) are always skinny. As long as a parent is following doctors recommendations for nutritionists, medical testing to rule out conditions, we have to accept that some kids are going to be on the low side of the bell curve. That's just how math works. My son who has a huge head, is way skinnier than his sister, even though he is at the 10% weight for his age, and she is 5% for her age. She's gained 1 % per year.  They are 6 and 4, and eat lots of non vegan food, non vegetarian food, and still are super skinny.",33,0,insanepeoplefacebook
How long until they aren’t allowed to see their child again? I bet atleast a week,44,0,insanepeoplefacebook
Holy shot that kid looks thin. I might be wrong but afaik babies should have a little more weight on their hips,25,0,insanepeoplefacebook
Is human milk a violation?,8,1,insanepeoplefacebook
[removed],10,2,insanepeoplefacebook
"Makes perfect sense, thank you.

Mostly I was making the point that others have made - what else would a newborn be eating? It’s breast milk or formula. The only concern I can see is if the parents are concocting a vegan formula (which is otherwise regulated).",5,0,insanepeoplefacebook
"Would you keep your child away from all animal products at say 2 years old? I’m asking out of genuine curiosity. I wonder how many people see this as a viable option for their infant children. I’m not making a comment as to my beliefs one way or the other, just interested in a “real world” opinion.",1,1,insanepeoplefacebook
[removed],2,1,insanepeoplefacebook
"I haven’t read anything (from a peer reviewed study) that would agree with you. I eat a few vegan meals a week, primarily for environmental reasons, so I’m not some crazy meat lover, but I have to challenge you if you are making such strong claims. I’m open to reading something that would prove you right, since I don’t think we as a species can continue on our current path of animal product consumption, but children especially seem to be susceptible to malnutrition when lacking animal products in their diet.",2,1,insanepeoplefacebook
[removed],1,1,insanepeoplefacebook
"Well neither of those are peer reviewed articles advocating for vegan diets for children :( I was hoping for something more than a Google search with the first two results copied and posted. I am not against your alternative lifestyle, but don’t go around stating your ideals as facts. I get that you are not the “traditional” family unit, but that doesn’t mean that you have to reinvent the wheel.",1,2,insanepeoplefacebook
"this is the official stance of the largest US organization of nutrition, which represents over 100,000 professionals.

it doesn't get much better than ""over 100,000 professionals agree with what is written here"" which is sort of the point of peer reviews",4,0,insanepeoplefacebook
"[Here ya go. ](https://www.sciencedirect.com/science/article/abs/pii/S0002822301001675)

And [here](https://health.clevelandclinic.org/is-a-vegan-diet-safe-for-growing-children/) is Cleveland clinic’s take on the matter. 

Happy to provide more if you want! :)",4,0,insanepeoplefacebook
[removed],35,2,insanepeoplefacebook
What exactly do you think this baby should be eating?,12,2,insanepeoplefacebook
"(Not a vegan but I'm a vegetarian)
Breastmilk is widely considered to be in line with vegan philosophy, so assuming proper lactation and production that's good for the start. There are non dairy based infant formula if not, though those are more expensive. 

Once the child can eat solid food, then plant-based proteins like chickpeas, nuts, seeds, beans, lentils, etc are good options. B-12 supplements like nutritional yeast are a must, since that's really hard to get through food alone. 

There are other things to consider, but that's the job of a pediatrician and/or dietitian to handle, as they are more qualified than myself, especially if there are health concerns or dietary restrictions to consider. 

Veganism isn't for everyone (in fact it's not even for me but I try to have one or two vegan days per week) but it's possible because science is dope.",54,1,insanepeoplefacebook
This is good info although I'm not sure why you replied to me. I'm asking why these people think it's child abuse to feed an infant a vegan diet... because this kid is like 3 weeks old. Like are they imagining most newborns get steak puree or...?,10,3,insanepeoplefacebook
"The commenter said babies *can* be healthy on a vegan diet. A lot of people seem to have the idea that they can't, which is false. 

The person who replied to you was giving vegan suggestions for what babies can eat, since you had asked what this baby should be eating.

My bet is that you misread the first comment and thought they were saying babies *can't* be healthy vegans, but I may be wrong in that guess.",13,0,insanepeoplefacebook
"Ah nope, I changed my guess. I think you meant to reply to the comment above the one you first did, which just said ""child abuse."" 

In that case, this baby is clearly malnourished. Babies should be pretty fat, they should not have good muscle definition. There's of course too much fat, but chubby babies are healthier.",7,1,insanepeoplefacebook
Have you ever seen a newborn? There's nothing wrong with the baby.,-8,1,insanepeoplefacebook
"If it's a fresh out the oven bun, yeah. But if he's a couple months old he should be much chubbier",5,1,insanepeoplefacebook
He looks really young to me. Like under a month.,1,1,insanepeoplefacebook
Possibly. Let's put the duel on hold until we track down the baby and find out his exact age.,5,0,insanepeoplefacebook
"I may have misread the situation, and in that case my apologies for butting in",1,0,insanepeoplefacebook
**HAMBURGER**,4,0,insanepeoplefacebook
"> a baby can be healthy on a vegan diet

It doesn't matter whether it's possible. What matters is that the vast majority of the time, those vegan babies are not healthy, and several have died as a direct result of a fucked up diet.

To me, it's a bit like saying ""I want to take a moment to say that a car can go 150mph on the expressway and not crash"". It doesn't state anything of importance.",12,1,insanepeoplefacebook
[removed],3,1,insanepeoplefacebook
https://www.vice.com/en_us/article/wjqbem/judge-convicts-parents-after-baby-dies-from-vegan-diet,-2,1,insanepeoplefacebook
"In that case, specifically, the child wasn’t malnourished because of a “vegan” diet. The headlines were extremely misleading.

They were malnourished because their parents were absolutely batshit crazy morons who were only feeding  their kids *raw* foods, so the diet didn’t even include basic stuff like grains or pulses. I’m pretty sure they didn’t do any dietary supplements or consult any medical professional ever either.

So saying that case is representative of vegan parenting is a bit like saying that giving a 3 month old baby steak slurpy in a bottle is representative of omnivore parenting. No one with basic knowledge of health and nutrition would do either.

Edit: looks like this was a different case, involving home made veggie and grain based formula. Same point stands — dumb parenting and ignorance.",7,0,insanepeoplefacebook
Child abuse,25,0,insanepeoplefacebook
Something looks wrong about that child,9,0,insanepeoplefacebook
Are you suggesting that an infant should be eating meat?,26,2,insanepeoplefacebook
"Vegan means no animal byproduct, including milk. vegetarian is the one that just means no meat.",32,4,insanepeoplefacebook
"Well, I mean, newborns don’t drink cows milk. This just looks like a newborn a few weeks old. I don’t even think he looks malnourished.",40,2,insanepeoplefacebook
"Exactly, some babies are just skinnier than others especially as newborns.",18,0,insanepeoplefacebook
